EmployeeID,Attrition,retirementDate,retirementType,resignationReason
3896,Yes,17/4/2016,Resignation,Salary
3905,Yes,6/3/2016,Resignation,Others
3906,Yes,20/11/2016,Resignation,Salary
3919,Yes,31/10/2016,Resignation,Others
3920,Yes,14/8/2016,Resignation,Salary
3929,Yes,22/3/2016,Resignation,Others
3932,Yes,31/3/2016,Resignation,Salary
3938,Yes,17/11/2016,Resignation,Others
3940,Yes,18/8/2016,Resignation,Salary
3945,Yes,8/7/2016,Resignation,Stress
3954,Yes,26/3/2016,Resignation,Others
3956,Yes,6/2/2016,Resignation,Stress
3962,Yes,27/9/2016,Resignation,Salary
3964,Yes,3/12/2016,Resignation,Salary
3973,Yes,11/11/2016,Resignation,Others
3974,Yes,14/4/2016,Resignation,Others
3980,Yes,13/7/2016,Resignation,Others
3981,Yes,18/2/2016,Resignation,Others
3995,Yes,5/3/2016,Resignation,Others
3996,Yes,16/7/2016,Resignation,Others
4009,Yes,18/3/2016,Resignation,Others
4015,Yes,29/3/2016,Resignation,Others
4016,Yes,28/10/2016,Resignation,Salary
4021,Yes,27/6/2016,Resignation,Salary
4022,Yes,24/7/2016,Resignation,Others
4036,Yes,22/10/2016,Resignation,Others
4037,Yes,27/5/2016,Resignation,Salary
4048,Yes,4/5/2016,Resignation,Others
4052,Yes,21/8/2016,Resignation,Others
4058,Yes,30/9/2016,Resignation,Stress
4062,Yes,9/5/2016,Resignation,Salary
4073,Yes,15/1/2016,Resignation,Salary
4078,Yes,27/9/2016,Resignation,Salary
4079,Yes,14/7/2016,Resignation,Others
4121,Yes,27/1/2016,Resignation,Salary
4125,Yes,15/11/2016,Fired,NA
4127,Yes,24/10/2016,Resignation,Salary
4135,Yes,15/4/2016,Resignation,Stress
4144,Yes,23/2/2016,Resignation,Others
4153,Yes,10/12/2016,Resignation,Others
4155,Yes,31/1/2016,Resignation,Stress
4167,Yes,13/11/2016,Resignation,Others
4174,Yes,22/11/2016,Resignation,Others
4177,Yes,17/10/2016,Resignation,Salary
4179,Yes,4/8/2016,Resignation,Others
4186,Yes,9/2/2016,Resignation,Others
4187,Yes,8/2/2016,Resignation,Salary
4189,Yes,5/9/2016,Resignation,Salary
4195,Yes,26/6/2016,Resignation,Others
4198,Yes,10/10/2016,Fired,NA
4203,Yes,17/9/2016,Resignation,Others
4204,Yes,28/2/2016,Resignation,Salary
4222,Yes,19/11/2016,Resignation,Stress
4242,Yes,28/9/2016,Resignation,Others
4253,Yes,11/8/2016,Resignation,Stress
4255,Yes,7/8/2016,Resignation,Stress
4260,Yes,14/5/2016,Resignation,Others
4264,Yes,25/4/2016,Resignation,Others
4275,Yes,7/9/2016,Resignation,Others
4277,Yes,19/10/2016,Resignation,Others
4279,Yes,5/2/2016,Resignation,Stress
4280,Yes,22/6/2016,Resignation,Salary
4285,Yes,7/2/2016,Resignation,Stress
4289,Yes,28/6/2016,Resignation,Others
4293,Yes,1/6/2016,Resignation,Salary
4324,Yes,3/1/2016,Resignation,Others
4330,Yes,7/4/2016,Resignation,Stress
4335,Yes,19/5/2016,Resignation,Salary
4345,Yes,8/6/2016,Resignation,Stress
4357,Yes,11/5/2016,Resignation,Stress
4358,Yes,21/10/2016,Resignation,Stress
4363,Yes,2/10/2016,Fired,NA
4367,Yes,19/6/2016,Fired,NA
4369,Yes,1/6/2016,Resignation,Others
4370,Yes,6/7/2016,Resignation,Others
4382,Yes,18/4/2016,Resignation,Salary
4387,Yes,16/9/2016,Resignation,Others
4389,Yes,24/5/2016,Resignation,Others
4392,Yes,26/2/2016,Fired,NA
4403,Yes,26/1/2016,Resignation,Stress
